Date,VIVAX Equity ,VFINX Equity
10/1/1993,-0.021014943,-0.012484694
11/1/1993,-0.005134797,-0.000982029
12/1/1993,0.06231071,0.041105425
1/1/1994,-0.039043565,-0.030076236
2/1/1994,-0.059895712,-0.054214081
3/1/1994,0.032628171,0.016725242
4/1/1994,0.012690189,0.012948573
5/1/1994,-0.037531574,-0.033226117
6/1/1994,0.03762773,0.033826486
7/1/1994,0.023668898,0.03640776
8/1/1994,-0.045628325,-0.033464899
9/1/1994,0.022982458,0.02335469
10/1/1994,-0.045099235,-0.041223669
11/1/1994,-0.011492312,-0.004323971
12/1/1994,0.041334365,0.035205956
1/1/1995,0.033083174,0.03333857
2/1/1995,0.016698258,0.019390052
3/1/1995,0.033451999,0.028784035
4/1/1995,0.038104452,0.033894631
5/1/1995,-0.002587134,0.013668972
6/1/1995,0.034999066,0.03196833
7/1/1995,0.003423511,-0.002009983
8/1/1995,0.024896025,0.03258147
9/1/1995,-0.015270987,-0.004161304
10/1/1995,0.046154184,0.038381097
11/1/1995,0.010419871,0.002587751
12/1/1995,0.036995858,0.040759785
1/1/1996,0.004909555,0.004952458
2/1/1996,-0.000951803,0.001275857
3/1/1996,0.026592653,0.014547622
4/1/1996,0.010378762,0.020860683
5/1/1996,-0.01380071,-0.003956212
6/1/1996,-0.043536859,-0.046015401
7/1/1996,0.02330791,0.016437658
8/1/1996,0.032499835,0.046714414
9/1/1996,0.033162789,0.026197555
10/1/1996,0.069704398,0.068638245
11/1/1996,-0.049670171,-0.036033981
12/1/1996,0.069413849,0.068046473
1/1/1997,0.002944671,0.003530889
2/1/1997,-0.061670551,-0.050718635
3/1/1997,0.054632785,0.057699645
4/1/1997,0.056276587,0.054651213
5/1/1997,0.029315022,0.035938182
6/1/1997,0.076174402,0.075735838
7/1/1997,-0.050497244,-0.062089683
8/1/1997,0.048934792,0.045829573
9/1/1997,-0.038879317,-0.035406891
10/1/1997,0.033165762,0.040751028
11/1/1997,-0.011024392,0.00067626
12/1/1997,0.011471326,0.018610021
1/1/1998,0.068124048,0.064996821
2/1/1998,0.02505894,0.041632534
3/1/1998,0.026834564,0.009414846
4/1/1998,-0.018698688,-0.021879275
5/1/1998,0.000229949,0.033187639
6/1/1998,-0.022809536,-0.012208471
7/1/1998,-0.179873947,-0.160586057
8/1/1998,0.051257015,0.055121993
9/1/1998,0.075073314,0.077137362
10/1/1998,0.047424024,0.055308877
11/1/1998,-0.003157028,0.045500118
12/1/1998,0.049789191,0.044706861
1/1/1999,-0.025744255,-0.03546976
2/1/1999,-0.008635391,0.029364183
3/1/1999,0.113443981,0.039983414
4/1/1999,-0.022022739,-0.027915015
5/1/1999,0.030033263,0.047164431
6/1/1999,-0.031402439,-0.032556696
7/1/1999,-0.029400565,-0.008952735
8/1/1999,-0.048714201,-0.034683645
9/1/1999,0.055364755,0.060156917
10/1/1999,-0.010024117,0.015969593
11/1/1999,-0.026293077,0.046751881
12/1/1999,0.022538128,-0.048881179
1/1/2000,-0.069211019,-0.023679273
2/1/2000,0.072547172,0.086207779
3/1/2000,0.010031705,-0.033191745
4/1/2000,-0.001752013,-0.025482427
5/1/2000,-0.049188851,0.017397719
6/1/2000,0.019791721,-0.017389135
7/1/2000,0.05942152,0.055171427
8/1/2000,-0.009516523,-0.061946643
9/1/2000,0.017133599,-0.007162281
10/1/2000,-0.057341371,-0.08723038
11/1/2000,0.015016058,-0.003331483
12/1/2000,0.066086619,0.032815905
1/1/2001,-0.073919391,-0.100721753
2/1/2001,-0.089487044,-0.072551037
3/1/2001,0.105761204,0.073476054
4/1/2001,0.006459906,0.002901456
5/1/2001,-0.039805386,-0.030517782
6/1/2001,-0.01684172,-0.010619219
7/1/2001,-0.062763177,-0.067831832
8/1/2001,-0.107967239,-0.09090264
9/1/2001,0.001991863,0.019486433
10/1/2001,0.059357319,0.071752093
11/1/2001,0.002535109,0.003406093
12/1/2001,-0.019061928,-0.012723065
1/1/2002,-0.010192843,-0.021000278
2/1/2002,0.044655188,0.032549938
3/1/2002,-0.049463508,-0.061438992
4/1/2002,0.002364553,-0.009063139
5/1/2002,-0.070898658,-0.078775003
6/1/2002,-0.111477987,-0.078556718
7/1/2002,0.005823718,0.005089331
8/1/2002,-0.129257225,-0.121124132
9/1/2002,0.084448325,0.087200539
10/1/2002,0.067134437,0.058433235
11/1/2002,-0.062105126,-0.069772987
12/1/2002,-0.023004996,-0.022507725
1/1/2003,-0.028785502,-0.016318133
2/1/2003,-0.007502429,0.004782548
3/1/2003,0.098870146,0.08204199
4/1/2003,0.075374911,0.050349808
5/1/2003,0.008808775,0.008321521
6/1/2003,0.012305007,0.019626821
7/1/2003,0.015926924,0.018390761
8/1/2003,-0.011488682,-0.015474094
9/1/2003,0.056339042,0.057940914
10/1/2003,0.012177557,0.0078141
11/1/2003,0.059000287,0.045446994
12/1/2003,0.021990066,0.021918416
1/1/2004,0.018246875,0.012889463
2/1/2004,-0.019804601,-0.019529726
3/1/2004,-0.015987977,-0.013183891
4/1/2004,0.008707759,0.012695597
5/1/2004,0.020488741,0.014960182
6/1/2004,-0.009753491,-0.031252334
