Date,VWELX Equity,VFINX Equity
10/1/1990,0.05201112,0.056273315
11/1/1990,-0.007941229,-0.000963784
12/1/1990,0.052182822,0.058090449
1/1/1991,0.030709793,0.063238029
2/1/1991,0.015397569,0.011460309
3/1/1991,0.001628839,0.003795769
4/1/1991,0.021821252,0.036911499
5/1/1991,-0.014748436,-0.056441439
6/1/1991,0.027107891,0.045574511
7/1/1991,0.005104891,0.01831651
8/1/1991,0.016391446,-0.026446677
9/1/1991,0.012187645,0.013501208
10/1/1991,-0.043165469,-0.045306579
11/1/1991,0.042673173,0.08661643
12/1/1991,0.011815786,-0.005311254
1/1/1992,-0.003835364,0.009070335
2/1/1992,-0.001156136,-0.028424957
3/1/1992,0.024120812,0.031079662
4/1/1992,-0.000799744,0.001382504
5/1/1992,0.004255878,-0.023931215
6/1/1992,0.025149521,0.042236529
7/1/1992,-0.024452532,-0.023931964
8/1/1992,0.019381057,0.003382326
9/1/1992,-0.012654615,0.006150554
10/1/1992,0.017028402,0.031167111
11/1/1992,-0.009266466,0.003067836
12/1/1992,0.031946608,0.011628074
1/1/1993,0.006111531,0.01084674
2/1/1993,0.028089585,0.012473913
3/1/1993,0.001496988,-0.021135222
4/1/1993,0.01044186,0.023730972
5/1/1993,-0.001487578,-0.005060616
6/1/1993,0.009726103,-0.00162696
7/1/1993,0.029798056,0.034572888
8/1/1993,-0.018880548,-0.015657358
9/1/1993,0.016324997,0.023146106
10/1/1993,-0.007281379,-0.012484694
11/1/1993,-0.021035777,-0.000982029
12/1/1993,0.06372732,0.041105425
1/1/1994,-0.03340065,-0.030076236
2/1/1994,-0.053239915,-0.054214081
3/1/1994,0.020264603,0.016725242
4/1/1994,0.012667167,0.012948573
5/1/1994,-0.027608335,-0.033226117
6/1/1994,0.040265587,0.033826486
7/1/1994,0.020447963,0.03640776
8/1/1994,-0.0381041,-0.033464899
9/1/1994,0.007073913,0.02335469
10/1/1994,-0.037566461,-0.041223669
11/1/1994,-0.001223974,-0.004323971
12/1/1994,0.030819597,0.035205956
1/1/1995,0.034945607,0.03333857
2/1/1995,0.006612357,0.019390052
3/1/1995,0.02711518,0.028784035
4/1/1995,0.043723125,0.033894631
5/1/1995,-0.001751426,0.013668972
6/1/1995,0.025239591,0.03196833
7/1/1995,0.007933453,-0.002009983
8/1/1995,0.017107312,0.03258147
9/1/1995,-0.006661494,-0.004161304
10/1/1995,0.042591899,0.038381097
11/1/1995,-0.010270247,0.002587751
12/1/1995,0.043823032,0.040759785
1/1/1996,-0.011879224,0.004952458
2/1/1996,0.005838531,0.001275857
3/1/1996,0.00173686,0.014547622
4/1/1996,0.003311513,0.020860683
5/1/1996,-0.003480043,-0.003956212
6/1/1996,-0.013578508,-0.046015401
7/1/1996,0.015289018,0.016437658
8/1/1996,0.024847167,0.046714414
9/1/1996,0.038458698,0.026197555
10/1/1996,0.046759362,0.068638245
11/1/1996,-0.0847243,-0.036033981
12/1/1996,0.085447353,0.068046473
1/1/1997,0.003783404,0.003530889
2/1/1997,-0.047065049,-0.050718635
3/1/1997,0.042135792,0.057699645
4/1/1997,0.037081791,0.054651213
5/1/1997,0.023171079,0.035938182
6/1/1997,0.062773611,0.075735838
7/1/1997,-0.043689504,-0.062089683
8/1/1997,0.029108699,0.045829573
9/1/1997,-0.007008843,-0.035406891
10/1/1997,0.016626224,0.040751028
11/1/1997,-0.0569147,0.00067626
12/1/1997,0.074504088,0.018610021
1/1/1998,0.028951703,0.064996821
2/1/1998,0.021058953,0.041632534
3/1/1998,0.013260353,0.009414846
4/1/1998,-0.009955179,-0.021879275
5/1/1998,-0.006053058,0.033187639
6/1/1998,-0.013170578,-0.012208471
7/1/1998,-0.083774943,-0.160586057
8/1/1998,0.040649289,0.055121993
9/1/1998,0.044803021,0.077137362
10/1/1998,0.025908083,0.055308877
11/1/1998,-0.099066486,0.045500118
12/1/1998,0.097553176,0.044706861
1/1/1999,-0.033312587,-0.03546976
2/1/1999,0.012894437,0.029364183
3/1/1999,0.075871916,0.039983414
4/1/1999,-0.022457095,-0.027915015
5/1/1999,0.007233167,0.047164431
6/1/1999,-0.015168049,-0.032556696
7/1/1999,-0.012556236,-0.008952735
8/1/1999,-0.038343808,-0.034683645
9/1/1999,0.022747696,0.060156917
10/1/1999,-0.006418957,0.015969593
11/1/1999,-0.061932369,0.046751881
12/1/1999,0.022878102,-0.048881179
1/1/2000,-0.050863584,-0.023679273
2/1/2000,0.056775269,0.086207779
3/1/2000,0.012807727,-0.033191745
4/1/2000,0.007745465,-0.025482427
5/1/2000,-0.032476428,0.017397719
6/1/2000,0.018379682,-0.017389135
7/1/2000,0.030127955,0.055171427
8/1/2000,-0.017931612,-0.061946643
9/1/2000,0.027708834,-0.007162281
10/1/2000,-0.003790023,-0.08723038
11/1/2000,-0.02704278,-0.003331483
12/1/2000,0.077925038,0.032815905
1/1/2001,-0.008725836,-0.100721753
2/1/2001,-0.031732437,-0.072551037
3/1/2001,0.0393277,0.073476054
4/1/2001,0.013593756,0.002901456
5/1/2001,-0.028106217,-0.030517782
6/1/2001,0.018457417,-0.010619219
7/1/2001,-0.020754936,-0.067831832
8/1/2001,-0.066246521,-0.09090264
9/1/2001,0.020177563,0.019486433
10/1/2001,0.042998014,0.071752093
11/1/2001,-0.043027895,0.003406093
12/1/2001,0.050597029,-0.012723065
1/1/2002,0.007657322,-0.021000278
2/1/2002,0.012218121,0.032549938
3/1/2002,-0.015327382,-0.061438992
4/1/2002,0.005424809,-0.009063139
5/1/2002,-0.04219027,-0.078775003
6/1/2002,-0.044747744,-0.078556718
7/1/2002,0.001760104,0.005089331
8/1/2002,-0.079289286,-0.121124132
9/1/2002,0.041031328,0.087200539
10/1/2002,0.041269497,0.058433235
11/1/2002,-0.026527492,-0.069772987
12/1/2002,-0.013885421,-0.022507725
1/1/2003,-0.012736032,-0.016318133
2/1/2003,-0.009015171,0.004782548
3/1/2003,0.06384572,0.08204199
4/1/2003,0.053644824,0.050349808
5/1/2003,-0.001320931,0.008321521
6/1/2003,-0.002608001,0.019626821
7/1/2003,0.018587356,0.018390761
8/1/2003,-0.00531556,-0.015474094
9/1/2003,0.03825297,0.057940914
10/1/2003,0.010832683,0.0078141
11/1/2003,0.03885133,0.045446994
12/1/2003,0.014020653,0.021918416
1/1/2004,0.019335666,0.012889463
2/1/2004,-0.012657303,-0.019529726
3/1/2004,-0.012182791,-0.013183891
4/1/2004,-0.00044382,0.012695597
5/1/2004,0.013339188,0.014960182
6/1/2004,-0.006821809,-0.031252334
7/1/2004,0.013375416,0.00271167
8/1/2004,0.006635718,0.005416423
9/1/2004,0.016308947,0.017706489
10/1/2004,0.024784874,0.038237682
11/1/2004,-0.013117606,0.024361502
12/1/2004,0.024101173,-0.019282928
1/1/2005,0.021034636,0.018872015
2/1/2005,-0.02430163,-0.023820336
3/1/2005,-0.001987167,-0.017625044
4/1/2005,0.01407473,0.028861069
5/1/2005,-0.002413751,-0.004960601
6/1/2005,0.026415831,0.037693665
7/1/2005,0.006123038,-0.011779196
8/1/2005,0.001008812,0.000339527
9/1/2005,-0.014290696,-0.015129586
10/1/2005,0.019961391,0.034000816
11/1/2005,-0.035409773,-0.008259249
12/1/2005,0.062450885,0.027997997
1/1/2006,-0.005323577,-0.000854043
2/1/2006,-0.004361859,0.004534142
3/1/2006,0.022006929,0.013472504
4/1/2006,-0.01753012,-0.033244589
5/1/2006,-0.010716155,-0.00686922
6/1/2006,0.020444769,0.006184749
7/1/2006,0.015001503,0.019178607
8/1/2006,0.002273471,0.016784773
9/1/2006,0.028919656,0.032067768
10/1/2006,0.01326282,0.014571723
11/1/2006,-0.044417116,0.004697835
12/1/2006,0.053665916,0.015631875
1/1/2007,-0.009085286,-0.024063521
2/1/2007,-0.001492367,0.002645615
3/1/2007,0.036209677,0.043096611
4/1/2007,0.018393445,0.029988575
5/1/2007,-0.020457349,-0.025028468
6/1/2007,-0.010870054,-0.031280895
7/1/2007,0.009661817,0.010863707
8/1/2007,0.018925115,0.028034226
9/1/2007,0.014227332,0.016752325
10/1/2007,-0.016400752,-0.045947746
11/1/2007,-0.061049544,-0.015778317
12/1/2007,0.020524027,-0.059093847
1/1/2008,-0.010398224,-0.035851204
2/1/2008,-0.01250144,-0.010951738
3/1/2008,0.031498473,0.050788207
4/1/2008,0.007894609,0.011614576
5/1/2008,-0.061990336,-0.094160664
6/1/2008,-0.005696485,-0.005252316
7/1/2008,0.005746474,0.012777282
8/1/2008,-0.086933206,-0.100368646
9/1/2008,-0.122508153,-0.179460782
10/1/2008,-0.021566557,-0.075219032
11/1/2008,0.026163731,0.001544284
12/1/2008,-0.044495838,-0.079151067
1/1/2009,-0.066768278,-0.11277904
2/1/2009,0.040159247,0.076907959
3/1/2009,0.0656755,0.098101073
4/1/2009,0.060893891,0.05448078
5/1/2009,-0.004470525,-0.003180267
6/1/2009,0.065099269,0.078201004
7/1/2009,0.026500323,0.035198127
8/1/2009,0.017594672,0.031436341
9/1/2009,0.002655339,-0.013982421
10/1/2009,0.044319231,0.057976504
11/1/2009,-0.004882656,0.012898408
12/1/2009,-0.008685409,-0.030417009
1/1/2010,0.014303697,0.030400077
2/1/2010,0.03242037,0.054294682
3/1/2010,0.013699296,0.019607617
4/1/2010,-0.055760863,-0.083471381
5/1/2010,-0.029879188,-0.059151196
6/1/2010,0.061150099,0.072581273
7/1/2010,-0.022826982,-0.046506275
8/1/2010,0.044050794,0.080211395
9/1/2010,0.027977745,0.042121184
10/1/2010,-0.010434021,-0.000133324
11/1/2010,0.037912405,0.060222367
12/1/2010,0.026671846,0.027408903
1/1/2011,0.02265324,0.033492249
2/1/2011,-0.008169677,-0.004048192
3/1/2011,0.033762903,0.033146269
4/1/2011,-0.005225927,-0.011595174
5/1/2011,-0.020905718,-0.021422097
6/1/2011,-0.005556893,-0.01621897
7/1/2011,-0.035857218,-0.0560289
8/1/2011,-0.05017749,-0.078426293
9/1/2011,0.076869387,0.108711125
10/1/2011,-0.006431274,-0.002355834
11/1/2011,0.008322747,0.00449202
12/1/2011,0.040598077,0.04934198
1/1/2012,0.02560231,0.042149935
2/1/2012,0.00804732,0.02808134
3/1/2012,0.005775706,-0.00231351
4/1/2012,-0.040631475,-0.062123626
5/1/2012,0.024214447,0.035261445
6/1/2012,0.021802166,0.01850667
7/1/2012,0.012128936,0.02207163
8/1/2012,0.012549852,0.02052124
9/1/2012,0.0064656,-0.014019696
10/1/2012,0.001959513,0.005500468
11/1/2012,-0.013593391,0.002042017
12/1/2012,0.055395115,0.057185498
1/1/2013,0.00848608,0.013258369
2/1/2013,0.01900565,0.032196831
3/1/2013,0.028360263,0.023227063
4/1/2013,0.006436954,0.022949618
5/1/2013,-0.020205721,-0.018378835
6/1/2013,0.04146848,0.054196805
7/1/2013,-0.02261501,-0.029584452
8/1/2013,0.016416022,0.025976194
9/1/2013,0.033538103,0.049514878
10/1/2013,0.019056029,0.02981793
11/1/2013,-0.031938379,0.019647209
12/1/2013,0.03122344,-0.030183054
1/1/2014,0.029479947,0.044538726
2/1/2014,0.002837944,0.003930258
3/1/2014,0.017118035,0.011418383
4/1/2014,0.014464321,0.023039119
5/1/2014,0.008027472,0.016086007
6/1/2014,-0.004505408,-0.009802896
7/1/2014,0.024233085,0.039064215
8/1/2014,-0.019743417,-0.01875036
9/1/2014,0.021485,0.0283603
10/1/2014,0.017939753,0.02645374
11/1/2014,-0.04666763,-0.007928712
12/1/2014,0.030317612,-0.025221046
1/1/2015,0.032079421,0.055721255
2/1/2015,-0.015689412,-0.020876323
3/1/2015,0.016726115,0.014267359
4/1/2015,0.003246226,0.012620606
5/1/2015,-0.025706223,-0.023937194
6/1/2015,0.023738337,0.024967732
7/1/2015,-0.046130636,-0.062325924
8/1/2015,-0.020155425,-0.030314751
9/1/2015,0.059309624,0.08575147
10/1/2015,0.000513075,0.002859799
11/1/2015,-0.058146101,-0.021742274
12/1/2015,0.015903334,-0.045709451
1/1/2016,-0.00265239,-0.001586496
2/1/2016,0.043054667,0.060205164
3/1/2016,0.020314054,0.008555387
4/1/2016,0.007729853,0.017497023
5/1/2016,0.000866173,-0.002401287
6/1/2016,0.030006146,0.040562346
7/1/2016,0.001830101,0.001077664
8/1/2016,-0.007930028,-0.004420138
9/1/2016,-0.00555435,-0.014444306
10/1/2016,0.021663668,0.03608082
11/1/2016,-0.004626167,0.013167831
12/1/2016,0.034162119,0.024226461
1/1/2017,0.025862948,0.038437415
2/1/2017,-0.008122735,-0.0038669
3/1/2017,0.01293279,0.014067018
4/1/2017,0.011160725,0.013207943
5/1/2017,-0.000422498,0.001167724
6/1/2017,0.017715668,0.023663739
7/1/2017,0.000588737,0.002072024
8/1/2017,0.01322561,0.014621948
9/1/2017,0.018730337,0.026944143
10/1/2017,0.01723178,0.029251654
11/1/2017,-0.034185292,0.005464184
12/1/2017,0.072948461,0.059031323
1/1/2018,-0.037662382,-0.038843279
2/1/2018,-0.0179052,-0.031354829
3/1/2018,0.007168893,0.006555032
4/1/2018,0.004620781,0.022222707
5/1/2018,-0.01054102,7.79E-05
6/1/2018,0.039042611,0.039172937
7/1/2018,0.009652801,0.030339882
8/1/2018,-0.005663642,-0.000426037
9/1/2018,-0.035301298,-0.068447456
10/1/2018,0.018203962,0.018240559
11/1/2018,-0.122122937,-0.101788815
12/1/2018,0.111269837,0.079999998
1/1/2019,0.022174656,0.02946407
