Date,VGSIX Equity,VFINX Equity
10/1/1996,-0.024383309,0.068638245
11/1/1996,0.124631689,-0.036033981
12/1/1996,-0.047907052,0.068046473
1/1/1997,-0.00670067,0.003530889
2/1/1997,0.04913037,-0.050718635
3/1/1997,-0.083775684,0.057699645
4/1/1997,-0.025546236,0.054651213
5/1/1997,-0.000710092,0.035938182
6/1/1997,-0.031967613,0.075735838
7/1/1997,0.054582101,-0.062089683
8/1/1997,0.028924031,0.045829573
9/1/1997,0.020681349,-0.035406891
10/1/1997,-0.023632744,0.040751028
11/1/1997,0.000737545,0.00067626
12/1/1997,-0.010708718,0.018610021
1/1/1998,-0.081586121,0.064996821
2/1/1998,-0.024328869,0.041632534
3/1/1998,-0.035626547,0.009414846
4/1/1998,0.012963773,-0.021879275
5/1/1998,-0.049742397,0.033187639
6/1/1998,-0.043011,-0.012208471
7/1/1998,0.063971072,-0.160586057
8/1/1998,-0.014659194,0.055121993
9/1/1998,-0.077869186,0.077137362
10/1/1998,-0.039629608,0.055308877
11/1/1998,-0.088773771,0.045500118
12/1/1998,-0.044308194,0.044706861
1/1/1999,0.019618643,-0.03546976
2/1/1999,-0.045470894,0.029364183
3/1/1999,0.062888555,0.039983414
4/1/1999,0.048622569,-0.027915015
5/1/1999,-0.080153051,0.047164431
6/1/1999,0.017171161,-0.032556696
7/1/1999,-0.001097414,-0.008952735
8/1/1999,-0.027836643,-0.034683645
9/1/1999,-0.062419633,0.060156917
10/1/1999,-0.031083596,0.015969593
11/1/1999,-0.046751881,0.046751881
12/1/1999,0.08635878,-0.048881179
1/1/2000,0.008427883,-0.023679273
2/1/2000,-0.065923479,0.086207779
3/1/2000,0.112351814,-0.033191745
4/1/2000,0.035777443,-0.025482427
5/1/2000,-0.009052856,0.017397719
6/1/2000,0.117674226,-0.017389135
7/1/2000,-0.095887745,0.055171427
8/1/2000,0.074249453,-0.061946643
9/1/2000,-0.0235426,-0.007162281
10/1/2000,0.104480122,-0.08723038
11/1/2000,0.043036735,-0.003331483
12/1/2000,-0.001739628,0.032815905
1/1/2001,0.083345159,-0.100721753
2/1/2001,0.06991851,-0.072551037
3/1/2001,-0.040101008,0.073476054
4/1/2001,0.018348185,0.002901456
5/1/2001,0.072516453,-0.030517782
6/1/2001,0.004832331,-0.010619219
7/1/2001,0.102639387,-0.067831832
8/1/2001,0.032761031,-0.09090264
9/1/2001,-0.035478352,0.019486433
10/1/2001,-0.01575737,0.071752093
11/1/2001,-0.002581781,0.003406093
12/1/2001,0.033911982,-0.012723065
1/1/2002,0.040640831,-0.021000278
2/1/2002,0.019553321,0.032549938
3/1/2002,0.076019058,-0.061438992
4/1/2002,0.021976988,-0.009063139
5/1/2002,0.093756068,-0.078775003
6/1/2002,0.037149788,-0.078556718
7/1/2002,-0.003520296,0.005089331
8/1/2002,0.068839613,-0.121124132
9/1/2002,-0.121859637,0.087200539
10/1/2002,-0.013415307,0.058433235
11/1/2002,0.053022294,-0.069772987
12/1/2002,0.018638924,-0.022507725
1/1/2003,0.033530371,-0.016318133
2/1/2003,0.005404779,0.004782548
3/1/2003,-0.032318817,0.08204199
4/1/2003,0.003375666,0.050349808
5/1/2003,0.000866947,0.008321521
6/1/2003,0.043986063,0.019626821
7/1/2003,-0.011890116,0.018390761
8/1/2003,0.033313023,-0.015474094
9/1/2003,-0.026158791,0.057940914
10/1/2003,0.034426895,0.0078141
11/1/2003,-0.032851517,0.045446994
12/1/2003,0.037708785,0.021918416
1/1/2004,0.003401625,0.012889463
2/1/2004,0.064495096,-0.019529726
3/1/2004,-0.136409406,-0.013183891
4/1/2004,0.055833119,0.012695597
5/1/2004,-0.00013528,0.014960182
6/1/2004,0.049105082,-0.031252334
7/1/2004,0.07266837,0.00271167
8/1/2004,-0.019685271,0.005416423
9/1/2004,0.046795497,0.017706489
10/1/2004,0.002402528,0.038237682
11/1/2004,-0.000107894,0.024361502
12/1/2004,-0.04610948,-0.019282928
1/1/2005,0.009218232,0.018872015
2/1/2005,-0.003688773,-0.023820336
3/1/2005,0.085668232,-0.017625044
4/1/2005,0.003024957,0.028861069
5/1/2005,0.042543749,-0.004960601
6/1/2005,0.040408467,0.037693665
7/1/2005,-0.026292897,-0.011779196
