Date,VEURX Equity,VFINX Equity
10/1/1990,0.00247005,0.056273315
11/1/1990,-0.037605551,-0.000963784
12/1/1990,0.036830278,0.058090449
1/1/1991,0.06898162,0.063238029
2/1/1991,-0.075498304,0.011460309
3/1/1991,0.004409517,0.003795769
4/1/1991,0.009800423,0.036911499
5/1/1991,-0.088512409,-0.056441439
6/1/1991,0.064321568,0.045574511
7/1/1991,0.01310107,0.01831651
8/1/1991,0.027010085,-0.026446677
9/1/1991,-0.025961228,0.013501208
10/1/1991,-0.030457573,-0.045306579
11/1/1991,0.043355665,0.08661643
12/1/1991,0.023740099,-0.005311254
1/1/1992,0.001728417,0.009070335
2/1/1992,-0.041056541,-0.028424957
3/1/1992,0.054268099,0.031079662
4/1/1992,0.050097746,0.001382504
5/1/1992,-0.011568822,-0.023931215
6/1/1992,-0.040460332,0.042236529
7/1/1992,-0.00303705,-0.023931964
8/1/1992,-0.018422001,0.003382326
9/1/1992,-0.074514277,0.006150554
10/1/1992,-0.006552607,0.031167111
11/1/1992,-0.005732782,0.003067836
12/1/1992,0.024557361,0.011628074
1/1/1993,0.005916482,0.01084674
2/1/1993,0.04728792,0.012473913
3/1/1993,0.018505906,-0.021135222
4/1/1993,0.013262062,0.023730972
5/1/1993,-0.016211227,-0.005060616
6/1/1993,0.001339775,-0.00162696
7/1/1993,0.081392057,0.034572888
8/1/1993,-0.004391463,-0.015657358
9/1/1993,0.033933529,0.023146106
10/1/1993,-0.024575098,-0.012484694
11/1/1993,0.057255524,-0.000982029
12/1/1993,0.057375264,0.041105425
1/1/1994,-0.039399164,-0.030076236
2/1/1994,-0.035605906,-0.054214081
3/1/1994,0.047616214,0.016725242
4/1/1994,-0.044915158,0.012948573
5/1/1994,-0.014504754,-0.033226117
6/1/1994,0.047924527,0.033826486
7/1/1994,0.025655459,0.03640776
8/1/1994,-0.045273515,-0.033464899
9/1/1994,0.036129361,0.02335469
10/1/1994,-0.043180488,-0.041223669
11/1/1994,-0.025359877,-0.004323971
12/1/1994,0.015447067,0.035205956
1/1/1995,0.014761751,0.03333857
2/1/1995,0.03368502,0.019390052
3/1/1995,0.036174578,0.028784035
4/1/1995,0.020352428,0.033894631
5/1/1995,0.007132336,0.013668972
6/1/1995,0.046089956,0.03196833
7/1/1995,-0.045182319,-0.002009983
8/1/1995,0.025175112,0.03258147
9/1/1995,-0.010282386,-0.004161304
10/1/1995,0.001261097,0.038381097
11/1/1995,0.000449667,0.002587751
12/1/1995,0.026702998,0.040759785
1/1/1996,0.012636738,0.004952458
2/1/1996,0.008275146,0.001275857
3/1/1996,0.003385889,0.014547622
4/1/1996,0.007302763,0.020860683
5/1/1996,0.009166615,-0.003956212
6/1/1996,-0.016396111,-0.046015401
7/1/1996,0.024988935,0.016437658
8/1/1996,0.015070023,0.046714414
9/1/1996,0.017244807,0.026197555
10/1/1996,0.043675876,0.068638245
11/1/1996,-0.009715792,-0.036033981
12/1/1996,0.021949022,0.068046473
1/1/1997,0.008239597,0.003530889
2/1/1997,0.027335771,-0.050718635
3/1/1997,-0.00716206,0.057699645
4/1/1997,0.040279874,0.054651213
5/1/1997,0.046875834,0.035938182
6/1/1997,0.041629674,0.075735838
7/1/1997,-0.062825395,-0.062089683
8/1/1997,0.088180214,0.045829573
9/1/1997,-0.05516469,-0.035406891
10/1/1997,0.009494173,0.040751028
