Date,VIGRX Equity,VFINX Equity
10/1/1993,-0.002480255,-0.012484694
11/1/1993,-0.001599463,-0.000982029
12/1/1993,0.023544424,0.041105425
1/1/1994,-0.019996998,-0.030076236
2/1/1994,-0.055737536,-0.054214081
3/1/1994,0.00716345,0.016725242
4/1/1994,0.012304985,0.012948573
5/1/1994,-0.029916804,-0.033226117
6/1/1994,0.033176394,0.033826486
7/1/1994,0.048352215,0.03640776
8/1/1994,-0.022919819,-0.033464899
9/1/1994,0.024042199,0.02335469
10/1/1994,-0.037827957,-0.041223669
11/1/1994,0.006434032,-0.004323971
12/1/1994,0.026002529,0.035205956
1/1/1995,0.032526006,0.03333857
2/1/1995,0.021175499,0.019390052
3/1/1995,0.025852133,0.028784035
4/1/1995,0.030054227,0.033894631
5/1/1995,0.028071816,0.013668972
6/1/1995,0.031124035,0.03196833
7/1/1995,-0.007800272,-0.002009983
8/1/1995,0.039248114,0.03258147
9/1/1995,0.007487517,-0.004161304
10/1/1995,0.03075596,0.038381097
11/1/1995,0.003348961,0.002587751
12/1/1995,0.036280915,0.040759785
1/1/1996,0.004684989,0.004952458
2/1/1996,-0.01588787,0.001275857
3/1/1996,0.02184177,0.014547622
4/1/1996,0.031082597,0.020860683
5/1/1996,0.004858755,-0.003956212
6/1/1996,-0.04757582,-0.046015401
7/1/1996,0.009877457,0.016437658
8/1/1996,0.059234086,0.046714414
9/1/1996,0.020544988,0.026197555
10/1/1996,0.067588016,0.068638245
11/1/1996,-0.035733685,-0.036033981
12/1/1996,0.079656451,0.068046473
1/1/1997,0.003862572,0.003530889
2/1/1997,-0.056206017,-0.050718635
3/1/1997,0.076095738,0.057699645
4/1/1997,0.052739354,0.054651213
5/1/1997,0.042562339,0.035938182
6/1/1997,0.0741162,0.075735838
7/1/1997,-0.073105269,-0.062089683
8/1/1997,0.042887436,0.045829573
9/1/1997,-0.032437693,-0.035406891
10/1/1997,0.048483688,0.040751028
11/1/1997,-0.007434356,0.00067626
12/1/1997,0.043651079,0.018610021
1/1/1998,0.062386651,0.064996821
2/1/1998,0.043900043,0.041632534
3/1/1998,0.005881426,0.009414846
4/1/1998,-0.024609406,-0.021879275
5/1/1998,0.062870611,0.033187639
6/1/1998,-0.002721589,-0.012208471
7/1/1998,-0.144002976,-0.160586057
8/1/1998,0.058734078,0.055121993
9/1/1998,0.078549665,0.077137362
10/1/1998,0.06200795,0.055308877
11/1/1998,0.064331401,0.045500118
12/1/1998,0.061910983,0.044706861
1/1/1999,-0.043779746,-0.03546976
2/1/1999,0.037812754,0.029364183
3/1/1999,-0.000471484,0.039983414
4/1/1999,-0.033641642,-0.027915015
5/1/1999,0.063796508,0.047164431
6/1/1999,-0.033219987,-0.032556696
7/1/1999,0.009242396,-0.008952735
8/1/1999,-0.022504713,-0.034683645
9/1/1999,0.064036744,0.060156917
10/1/1999,0.037874992,0.015969593
11/1/1999,0.045928539,0.046751881
12/1/1999,-0.048353899,-0.048881179
1/1/2000,0.01601077,-0.023679273
2/1/2000,0.082355417,0.086207779
3/1/2000,-0.054922371,-0.033191745
4/1/2000,-0.04630941,-0.025482427
5/1/2000,0.07289524,0.017397719
6/1/2000,-0.049004514,-0.017389135
7/1/2000,0.051276727,0.055171427
8/1/2000,-0.108587762,-0.061946643
9/1/2000,-0.031422549,-0.007162281
10/1/2000,-0.117848581,-0.08723038
11/1/2000,-0.051956256,-0.003331483
12/1/2000,0.024074843,0.032815905
1/1/2001,-0.130462033,-0.100721753
2/1/2001,-0.100217506,-0.072551037
3/1/2001,0.082727984,0.073476054
4/1/2001,-0.001392489,0.002901456
5/1/2001,-0.0183132,-0.030517782
6/1/2001,-0.004520753,-0.010619219
7/1/2001,-0.072797414,-0.067831832
8/1/2001,-0.074522478,-0.09090264
9/1/2001,0.034819241,0.019486433
10/1/2001,0.082781525,0.071752093
11/1/2001,-0.003220194,0.003406093
12/1/2001,-0.000316945,-0.012723065
1/1/2002,-0.031474309,-0.021000278
2/1/2002,0.019799732,0.032549938
