Date,VWIGX Equity,VFINX Equity
10/1/1990,-0.059851354,0.056273315
11/1/1990,-0.084531718,-0.000963784
12/1/1990,0.10358245,0.058090449
1/1/1991,0.070806542,0.063238029
2/1/1991,-0.06150445,0.011460309
3/1/1991,0.011747467,0.003795769
4/1/1991,-0.000272272,0.036911499
5/1/1991,-0.062972608,-0.056441439
6/1/1991,0.034776568,0.045574511
7/1/1991,-0.030598001,0.01831651
8/1/1991,0.029582696,-0.026446677
9/1/1991,-0.013980933,0.013501208
10/1/1991,-0.057810095,-0.045306579
11/1/1991,0.014659674,0.08661643
12/1/1991,0.029865607,-0.005311254
1/1/1992,-0.011137589,0.009070335
2/1/1992,-0.050642207,-0.028424957
3/1/1992,0.026135952,0.031079662
4/1/1992,0.054930237,0.001382504
5/1/1992,-0.01935199,-0.023931215
6/1/1992,-0.035367283,0.042236529
7/1/1992,0.002898029,-0.023931964
8/1/1992,-0.023632609,0.003382326
9/1/1992,-0.033364904,0.006150554
10/1/1992,-0.009584781,0.031167111
11/1/1992,-0.018336668,0.003067836
12/1/1992,0.019120393,0.011628074
1/1/1993,0.016326514,0.01084674
2/1/1993,0.053303677,0.012473913
3/1/1993,0.06517182,-0.021135222
4/1/1993,0.009454623,0.023730972
5/1/1993,-0.01162102,-0.005060616
6/1/1993,0.030837015,-0.00162696
7/1/1993,0.06362408,0.034572888
8/1/1993,0.004879249,-0.015657358
9/1/1993,0.044219461,0.023146106
10/1/1993,-0.03776903,-0.012484694
11/1/1993,0.095324557,-0.000982029
12/1/1993,0.058080765,0.041105425
1/1/1994,-0.028161201,-0.030076236
2/1/1994,-0.047481538,-0.054214081
3/1/1994,0.029732218,0.016725242
4/1/1994,-0.010283174,0.012948573
5/1/1994,-0.008459694,-0.033226117
6/1/1994,0.019052196,0.033826486
7/1/1994,0.032617395,0.03640776
8/1/1994,-0.03118601,-0.033464899
9/1/1994,0.020852595,0.02335469
10/1/1994,-0.048983696,-0.041223669
11/1/1994,-0.023498383,-0.004323971
12/1/1994,-0.044016403,0.035205956
1/1/1995,-0.003153591,0.03333857
2/1/1995,0.038714513,0.019390052
3/1/1995,0.038371683,0.028784035
4/1/1995,0.015731197,0.033894631
5/1/1995,0.002133033,0.013668972
6/1/1995,0.046917096,0.03196833
7/1/1995,-0.029514101,-0.002009983
8/1/1995,0.02285349,0.03258147
9/1/1995,-0.024585542,-0.004161304
10/1/1995,0.002910071,0.038381097
11/1/1995,0.002123727,0.002587751
12/1/1995,0.046870268,0.040759785
1/1/1996,0.001589859,0.004952458
2/1/1996,0.01689451,0.001275857
3/1/1996,0.023890824,0.014547622
4/1/1996,-0.003036748,0.020860683
5/1/1996,0.004897128,-0.003956212
6/1/1996,-0.037097029,-0.046015401
7/1/1996,0.010054446,0.016437658
8/1/1996,0.019467218,0.046714414
9/1/1996,-0.018419032,0.026197555
10/1/1996,0.049502767,0.068638245
11/1/1996,-0.047694026,-0.036033981
12/1/1996,0.030481753,0.068046473
1/1/1997,0.019327019,0.003530889
2/1/1997,0.005857605,-0.050718635
