Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return ,Monthly Risk Free Return,Equity Premium
10/1/1990,30.190001,30.219999,28.34,29.200001,15.598293,0,0.062396198,0.006122883,0.056273315
11/1/1990,29.49,31.08,29.440001,31.08,16.602573,0,0.005134252,0.006098036,-0.000963784
12/1/1990,31.280001,32.040001,31.059999,31.24,16.688034,0,0.064105655,0.006015206,0.058090449
1/1/1991,30.889999,32.599998,29.5,32.599998,17.792866,0,0.068747822,0.005509793,0.063238029
2/1/1991,32.52,35.099998,32.52,34.919998,19.059114,0,0.016754603,0.005294294,0.011460309
3/1/1991,35.240002,35.860001,34.91,35.509998,19.381132,0,0.008965715,0.005169946,0.003795769
4/1/1991,35.150002,36.990002,35.150002,35.580002,19.555679,0,0.041832703,0.004921204,0.036911499
5/1/1991,36.049999,37.099998,35.029999,37.099998,20.391098,0,-0.051719273,0.004722166,-0.056441439
6/1/1991,37.099998,37.099998,35.23,35.23,19.363293,0,0.050321559,0.004747048,0.045574511
7/1/1991,35.869999,36.860001,35.450001,36.860001,20.362617,0,0.023063558,0.004747048,0.01831651
8/1/1991,36.799999,37.830002,35.889999,37.720001,20.837709,0,-0.021707923,0.004738754,-0.026446677
9/1/1991,37.419998,37.419998,36.630001,36.91,20.39024,0,0.018065774,0.004564566,0.013501208
10/1/1991,37.029999,37.439999,35.880001,37.400002,20.761953,0,-0.040932824,0.004373755,-0.045306579
11/1/1991,37.290001,37.959999,35.900002,35.900002,19.929266,0,0.090741245,0.004124815,0.08661643
12/1/1991,36.5,39.310001,36.130001,39.310001,21.82226,0,-0.001593175,0.003718079,-0.005311254
1/1/1992,39.330002,39.689999,38.580002,38.580002,21.787521,0,0.012364902,0.003294567,0.009070335
2/1/1992,38.66,39.439999,38.540001,39.060001,22.058594,0,-0.025147002,0.003277955,-0.028424957
3/1/1992,39.060001,39.110001,38.02,38.09,21.510803,0,0.034432369,0.003352707,0.031079662
4/1/1992,38.139999,39.299999,37.240002,39.200001,22.26437,0,0.004834871,0.003452367,0.001382504
5/1/1992,38.970001,39.610001,38.830002,39.389999,22.372276,0,-0.020777859,0.003153356,-0.023931215
6/1/1992,39.580002,39.580002,38.080002,38.580002,21.912224,0,0.045389885,0.003153356,0.042236529
7/1/1992,39.02,40.139999,38.689999,40.139999,22.929735,0,-0.020894914,0.00303705,-0.023931964
8/1/1992,40.240002,40.240002,38.98,39.310001,22.455591,0,0.006086998,0.002704672,0.003382326
9/1/1992,39.52,40.419998,39.209999,39.549999,22.592695,0,0.008838605,0.002688051,0.006150554
10/1/1992,39.41,39.889999,38.139999,39.68,22.793268,0,0.033456156,0.002289045,0.031167111
11/1/1992,40.07,41.029999,39.560001,41.029999,23.568743,0,0.005589654,0.002521818,0.003067836
12/1/1992,40.98,42.029999,40.91,41.259998,23.700853,0,0.014440781,0.002812707,0.011628074
1/1/1993,40.950001,41.41,40.360001,41.299999,24.045595,0,0.013468301,0.002621561,0.01084674
2/1/1993,41.66,42.360001,40.75,41.860001,24.371639,0,0.014937542,0.002463629,0.012473913
3/1/1993,41.740002,43.139999,41.740002,42.490002,24.738424,0,-0.018630029,0.002505193,-0.021135222
4/1/1993,42.360001,42.360001,40.82,41.459999,24.281813,0,0.026186289,0.002455317,0.023730972
5/1/1993,41.68,42.849998,41.450001,42.560001,24.926062,0,-0.002588674,0.002471942,-0.005060616
6/1/1993,42.900002,42.919998,41.73,42.450001,24.86162,0,0.000977978,0.002604938,-0.00162696
7/1/1993,42.310001,42.470001,41.619999,42.27,24.885946,0,0.03715289,0.002580002,0.034572888
8/1/1993,42.470001,43.869999,42.310001,43.869999,25.827921,0,-0.013077356,0.002580002,-0.015657358
9/1/1993,43.830002,43.830002,42.93,43.299999,25.492359,0,0.025709484,0.002563378,0.023146106
10/1/1993,43.529999,44.330002,43.349998,44.200001,26.156252,0,-0.010004439,0.002480255,-0.012484694
11/1/1993,44.32,44.32,43.25,43.759998,25.895878,0,0.001597973,0.002580002,-0.000982029
12/1/1993,43.779999,44.709999,43.779999,43.830002,25.937292,0,0.043776854,0.002671429,0.041105425
1/1/1994,43.740002,45.310001,43.740002,45.310001,27.097965,0,-0.02752117,0.002555066,-0.030076236
2/1/1994,45.130001,45.360001,43.790001,44.080002,26.362366,0,-0.051675639,0.002538442,-0.054214081
3/1/1994,43.82,44.509998,41.84,41.860001,25.034674,0,0.019612736,0.002887494,0.016725242
4/1/1994,41.23,42.560001,41.23,42.400002,25.530519,0,0.015910848,0.002962275,0.012948573
5/1/1994,42.610001,43.16,41.59,43.080002,25.93998,0,-0.029923244,0.003302873,-0.033226117
6/1/1994,43.189999,43.689999,41.650002,41.810001,25.17527,0,0.037411718,0.003585232,0.033826486
7/1/1994,41.990002,43.18,41.990002,43.18,26.13496,0,0.039951474,0.003543714,0.03640776
8/1/1994,43.439999,45,43.110001,44.939999,27.200228,0,-0.029813241,0.003651658,-0.033464899
9/1/1994,44.740002,44.919998,43.299999,43.619999,26.40127,0,0.027247105,0.003892415,0.02335469
10/1/1994,43.549999,44.73,42.669998,44.599998,27.130518,0,-0.037231648,0.003992021,-0.041223669
11/1/1994,44.240002,44.240002,42.580002,42.970001,26.138977,0,0,0.004323971,-0.004323971
12/1/1994,42.52,43.889999,42.209999,42.970001,26.138977,0,0.039961298,0.004755342,0.035205956
1/1/1995,42.959999,44.080002,42.959999,44.080002,27.204676,0,0.038060736,0.004722166,0.03333857
2/1/1995,44.080002,45.860001,44.080002,45.790001,28.260063,0,0.024377594,0.004987542,0.019390052
3/1/1995,45.650002,47.209999,45.34,46.919998,28.957441,0,0.033721824,0.004937789,0.028784035
4/1/1995,47.029999,48.299999,47.029999,48.299999,29.95059,0,0.038782665,0.004888034,0.033894631
5/1/1995,48.27,50.209999,48.27,50.209999,31.134972,0,0.018548713,0.004879741,0.013668972
6/1/1995,50.23,51.709999,49.73,51.150002,31.717875,0,0.036798313,0.004829983,0.03196833
7/1/1995,51.380001,53.130001,51.380001,52.84,32.90678,0,0.002645829,0.004655812,-0.002009983
8/1/1995,52.619999,52.98,52.259998,52.98,32.993961,0,0.037237282,0.004655812,0.03258147
9/1/1995,53.16,55.380001,53.16,54.990002,34.245728,0,0.00037008,0.004531384,-0.004161304
10/1/1995,54.740002,55.630001,54.32,54.790001,34.258404,0,0.042871002,0.004489905,0.038381097
11/1/1995,55.049999,57.389999,55.049999,57.189999,35.759033,0,0.007144022,0.004556271,0.002587751
12/1/1995,57.349998,58.779999,57.18,57.599998,36.015411,0,0.045316056,0.004556271,0.040759785
1/1/1996,58.049999,59.549999,56,59.549999,37.685032,0,0.009193452,0.004240994,0.004952458
2/1/1996,59.790001,61.990002,59.560001,60.099998,38.033085,0,0.00547536,0.004199503,0.001275857
3/1/1996,60.470001,61.549999,59.490002,60.43,38.241901,0,0.01872223,0.004174608,0.014547622
4/1/1996,61.200001,61.419998,59.130001,61.310001,38.964619,0,0.025126571,0.004265888,0.020860683
5/1/1996,61.360001,63.740002,59.849998,62.869999,39.95607,0,0.000317974,0.004274186,-0.003956212
