Date,VUSTX Equity,VFINX Equity
10/1/1990,0.039444057,0.056273315
11/1/1990,0.014153586,-0.000963784
12/1/1990,0.005066827,0.058090449
1/1/1991,0.000173514,0.063238029
2/1/1991,-0.00334915,0.011460309
3/1/1991,0.007954481,0.003795769
4/1/1991,-0.006547558,0.036911499
5/1/1991,-0.012486218,-0.056441439
6/1/1991,0.010395019,0.045574511
7/1/1991,0.029874802,0.01831651
8/1/1991,0.02483405,-0.026446677
9/1/1991,-0.005454732,0.013501208
10/1/1991,-0.004185667,-0.045306579
11/1/1991,0.056720315,0.08661643
12/1/1991,-0.035207442,-0.005311254
1/1/1992,-0.010044336,0.009070335
2/1/1992,-0.001864333,-0.028424957
3/1/1992,-0.004386602,0.031079662
4/1/1992,0.023253591,0.001382504
5/1/1992,0.008303657,-0.023931215
6/1/1992,0.035405644,0.042236529
7/1/1992,0.004973797,-0.023931964
8/1/1992,0.011066479,0.003382326
9/1/1992,-0.022020781,0.006150554
10/1/1992,0.002907826,0.031167111
11/1/1992,-0.033509821,0.003067836
12/1/1992,0.085795979,0.011628074
1/1/1993,0.027013034,0.01084674
2/1/1993,0.001647336,0.012473913
3/1/1993,0.005316992,-0.021135222
4/1/1993,0.001229357,0.023730972
5/1/1993,0.038766908,-0.005060616
6/1/1993,0.011229674,-0.00162696
7/1/1993,0.036850555,0.034572888
8/1/1993,0.000777924,-0.015657358
9/1/1993,0.003405139,0.023146106
10/1/1993,-0.027520147,-0.012484694
11/1/1993,-0.012404087,-0.000982029
12/1/1993,0.033522541,0.041105425
1/1/1994,-0.043020462,-0.030076236
2/1/1994,-0.04641877,-0.054214081
3/1/1994,-0.01153688,0.016725242
4/1/1994,-0.00781672,0.012948573
5/1/1994,-0.011298909,-0.033226117
6/1/1994,0.025247284,0.033826486
7/1/1994,-0.010299032,0.03640776
8/1/1994,-0.034278584,-0.033464899
9/1/1994,-0.007632568,0.02335469
10/1/1994,0.002444622,-0.041223669
11/1/1994,0.003030427,-0.004323971
12/1/1994,0.029913668,0.035205956
1/1/1995,0.022943289,0.03333857
2/1/1995,0.001619434,0.019390052
3/1/1995,0.011757082,0.028784035
4/1/1995,0.067887215,0.033894631
5/1/1995,0.006687697,0.013668972
6/1/1995,-0.01913027,0.03196833
7/1/1995,0.01584976,-0.002009983
8/1/1995,0.013617509,0.03258147
9/1/1995,0.024749355,-0.004161304
10/1/1995,0.01870403,0.038381097
11/1/1995,0.001529257,0.002587751
12/1/1995,0.015840604,0.040759785
1/1/1996,-0.054749817,0.004952458
2/1/1996,-0.026124082,0.001275857
3/1/1996,-0.020678849,0.014547622
4/1/1996,-0.009105074,0.020860683
5/1/1996,0.017142417,-0.003956212
6/1/1996,-0.004864899,-0.046015401
