Date,VEIEX Equity,VFINX Equity
10/1/1996,0.030269049,0.068638245
11/1/1996,-0.011601157,-0.036033981
12/1/1996,0.058846935,0.068046473
1/1/1997,0.025429503,0.003530889
2/1/1997,-0.036370797,-0.050718635
3/1/1997,-0.020779372,0.057699645
4/1/1997,0.039557255,0.054651213
5/1/1997,0.034132661,0.035938182
6/1/1997,0.011021602,0.075735838
7/1/1997,-0.168106104,-0.062089683
8/1/1997,0.046589915,0.045829573
9/1/1997,-0.204137442,-0.035406891
10/1/1997,-0.01800126,0.040751028
11/1/1997,-0.013301366,0.00067626
12/1/1997,-0.065294652,0.018610021
1/1/1998,0.107743531,0.064996821
2/1/1998,0.031077417,0.041632534
3/1/1998,-0.014815175,0.009414846
4/1/1998,-0.138229466,-0.021879275
5/1/1998,-0.102186304,0.033187639
6/1/1998,0.013621609,-0.012208471
7/1/1998,-0.306937307,-0.160586057
8/1/1998,0.085553608,0.055121993
9/1/1998,0.139363654,0.077137362
10/1/1998,0.057509278,0.055308877
11/1/1998,-0.067271964,0.045500118
12/1/1998,-0.000886704,0.044706861
1/1/1999,0.018167516,-0.03546976
2/1/1999,0.107096392,0.029364183
3/1/1999,0.139301559,0.039983414
4/1/1999,-0.046122598,-0.027915015
5/1/1999,0.072604007,0.047164431
6/1/1999,-0.038865785,-0.032556696
7/1/1999,-0.013915135,-0.008952735
8/1/1999,-0.008958549,-0.034683645
9/1/1999,0.033301965,0.060156917
10/1/1999,0.074047891,0.015969593
11/1/1999,0.107344544,0.046751881
12/1/1999,-0.032241773,-0.048881179
1/1/2000,0.030282336,-0.023679273
2/1/2000,-0.014584363,0.086207779
3/1/2000,-0.082390266,-0.033191745
4/1/2000,-0.059546494,-0.025482427
5/1/2000,0.05512549,0.017397719
6/1/2000,-0.057181265,-0.017389135
7/1/2000,0.010787272,0.055171427
8/1/2000,-0.069444989,-0.061946643
9/1/2000,-0.084392925,-0.007162281
10/1/2000,-0.109717791,-0.08723038
11/1/2000,0.030394643,-0.003331483
12/1/2000,0.12947325,0.032815905
1/1/2001,-0.095964854,-0.100721753
2/1/2001,-0.115440975,-0.072551037
3/1/2001,0.084835056,0.073476054
4/1/2001,0.012171317,0.002901456
5/1/2001,-0.025860604,-0.030517782
6/1/2001,-0.072747475,-0.010619219
